The Shawshank Redemption,"Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.",Drama,142 min,Tim Robbins,1994,9.3
The Godfather,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,"Crime Drama",175 min,Marlon Brando,1972,9.2
The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action Crime Drama",152 min,Christian Bale,2008,9
The Godfather: Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed while his son Michael expands and tightens his grip on the family crime syndicate.","Crime Drama",202 min,Al Pacino,1974,9
12 Angry Men,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"Crime Drama",96 min,Henry Fonda,1957,9
The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Action Adventure Drama",201 min,Elijah Wood,2003,8.9
American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Drama,119 min,Edward Norton,1998,8.5
Schindler's List,"In German-occupied Poland during World War II industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography Drama History",195 min,Liam Neeson,1993,8.9
Inception,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"Action Adventure Sci-Fi",148 min,Leonardo DiCaprio,2010,8.8
Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much much more.",Drama,139 min,Brad Pitt,1999,8.8
The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Action Adventure Drama",178 min,Elijah Wood,2001,8.8
Forrest Gump,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75 whose only desire is to be reunited with his childhood sweetheart.","Drama Romance",142 min,Tom Hanks,1994,8.8
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Action Adventure Drama",155 min,Russell Crowe,2000,8.5
The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum the divided fellowship makes a stand against Sauron's new ally Saruman and his hordes of Isengard.","Action Adventure Drama",179 min,Elijah Wood,2002,8.7
The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Action Sci-Fi",136 min,Lilly Wachowski,1999,8.7
